tenant_id,position_date,opening_balance,total_inflows,total_outflows,closing_balance
demo_business_001,2025-01-06,17429.75,401.45,0.0,17831.2
demo_business_001,2025-01-07,17831.2,257.6,0.0,18088.8
demo_business_001,2025-01-08,18088.8,285.25,0.0,18374.05
demo_business_001,2025-01-09,18374.05,262.65,0.0,18636.7
demo_business_001,2025-01-10,18636.7,479.45,0.0,19116.15
demo_business_001,2025-01-11,19116.15,385.0,3935.11,15566.04
demo_business_001,2025-01-12,15566.04,494.4,0.0,16060.44
demo_business_001,2025-01-13,16060.44,1479.0,0.0,17539.44
demo_business_001,2025-01-14,17539.44,347.5,1902.1,15984.84
demo_business_001,2025-01-15,15984.84,248.45,0.0,16233.29
demo_business_001,2025-01-16,16233.29,318.1,0.0,16551.39
demo_business_001,2025-01-17,16551.39,243.55,0.0,16794.94
demo_business_001,2025-01-18,16794.94,355.15,0.0,17150.09
demo_business_001,2025-01-19,17150.09,464.7,0.0,17614.79
demo_business_001,2025-01-20,17614.79,393.3,0.0,18008.09
demo_business_001,2025-01-21,18008.09,210.95,0.0,18219.04
demo_business_001,2025-01-22,18219.04,322.7,0.0,18541.74
demo_business_001,2025-01-23,18541.74,347.6,0.0,18889.34
demo_business_001,2025-01-24,18889.34,490.25,0.0,19379.59
demo_business_001,2025-01-25,19379.59,467.65,3948.25,15898.99
demo_business_001,2025-01-26,15898.99,343.0,0.0,16241.99
demo_business_001,2025-01-27,16241.99,215.65,0.0,16457.64
demo_business_001,2025-01-28,16457.64,439.2,1753.34,15143.5
demo_business_001,2025-01-29,15143.5,382.6,0.0,15526.1
demo_business_001,2025-01-30,15526.1,239.6,0.0,15765.7
demo_business_001,2025-01-31,15765.7,730.95,0.0,16496.65
demo_business_001,2025-02-01,16496.65,623.35,4230.0,12890.0
demo_business_001,2025-02-02,12890.0,489.65,0.0,13379.65
demo_business_001,2025-02-03,13379.65,1188.55,0.0,14568.2
demo_business_001,2025-02-04,14568.2,273.75,0.0,14841.95
demo_business_001,2025-02-05,14841.95,284.2,0.0,15126.15
demo_business_001,2025-02-06,15126.15,228.25,0.0,15354.4
demo_business_001,2025-02-07,15354.4,463.15,0.0,15817.55
demo_business_001,2025-02-08,15817.55,519.4,3961.38,12375.57
demo_business_001,2025-02-09,12375.57,447.95,0.0,12823.52
demo_business_001,2025-02-10,12823.52,864.05,0.0,13687.57
demo_business_001,2025-02-11,13687.57,372.75,1792.03,12268.29
demo_business_001,2025-02-12,12268.29,770.7,0.0,13038.99
demo_business_001,2025-02-13,13038.99,362.95,0.0,13401.94
demo_business_001,2025-02-14,13401.94,379.75,0.0,13781.69
demo_business_001,2025-02-15,13781.69,585.85,0.0,14367.54
demo_business_001,2025-02-16,14367.54,488.5,0.0,14856.04
demo_business_001,2025-02-17,14856.04,257.15,0.0,15113.19
demo_business_001,2025-02-18,15113.19,329.8,0.0,15442.99
demo_business_001,2025-02-19,15442.99,519.0,0.0,15961.99
demo_business_001,2025-02-20,15961.99,299.75,0.0,16261.74
demo_business_001,2025-02-21,16261.74,439.7,0.0,16701.44
demo_business_001,2025-02-22,16701.44,720.2,3974.52,13447.12
demo_business_001,2025-02-23,13447.12,393.2,0.0,13840.32
demo_business_001,2025-02-24,13840.32,218.25,0.0,14058.57
demo_business_001,2025-02-25,14058.57,290.1,1780.92,12567.75
demo_business_001,2025-02-26,12567.75,200.9,0.0,12768.65
demo_business_001,2025-02-27,12768.65,246.65,0.0,13015.3
demo_business_001,2025-02-28,13015.3,376.0,0.0,13391.3
demo_business_001,2025-03-01,13391.3,617.15,4230.0,9778.45
demo_business_001,2025-03-02,9778.45,427.1,0.0,10205.55
demo_business_001,2025-03-03,10205.55,325.7,0.0,10531.25
demo_business_001,2025-03-04,10531.25,328.25,0.0,10859.5
demo_business_001,2025-03-05,10859.5,424.7,0.0,11284.2
demo_business_001,2025-03-06,11284.2,377.9,0.0,11662.1
demo_business_001,2025-03-07,11662.1,561.15,0.0,12223.25
demo_business_001,2025-03-08,12223.25,669.8,3987.65,8905.4
demo_business_001,2025-03-09,8905.4,410.95,0.0,9316.35
demo_business_001,2025-03-10,9316.35,501.6,0.0,9817.95
demo_business_001,2025-03-11,9817.95,227.9,2060.24,7985.61
demo_business_001,2025-03-12,7985.61,255.7,0.0,8241.31
demo_business_001,2025-03-13,8241.31,417.45,0.0,8658.76
demo_business_001,2025-03-14,8658.76,454.25,0.0,9113.01
demo_business_001,2025-03-15,9113.01,718.85,0.0,9831.86
demo_business_001,2025-03-16,9831.86,1099.1,0.0,10930.96
demo_business_001,2025-03-17,10930.96,411.55,0.0,11342.51
demo_business_001,2025-03-18,11342.51,732.05,0.0,12074.56
demo_business_001,2025-03-19,12074.56,314.5,0.0,12389.06
demo_business_001,2025-03-20,12389.06,550.8,0.0,12939.86
demo_business_001,2025-03-21,12939.86,610.2,0.0,13550.06
demo_business_001,2025-03-22,13550.06,489.2,4000.79,10038.47
demo_business_001,2025-03-23,10038.47,703.1,0.0,10741.57
demo_business_001,2025-03-24,10741.57,335.8,0.0,11077.37
demo_business_001,2025-03-25,11077.37,285.85,2420.0,8943.22
demo_business_001,2025-03-26,8943.22,414.8,0.0,9358.02
demo_business_001,2025-03-27,9358.02,478.4,0.0,9836.42
demo_business_001,2025-03-28,9836.42,696.35,0.0,10532.77
demo_business_001,2025-03-29,10532.77,536.75,0.0,11069.52
demo_business_001,2025-03-30,11069.52,584.05,0.0,11653.57
demo_business_001,2025-03-31,11653.57,386.0,0.0,12039.57
demo_business_001,2025-04-01,12039.57,355.6,4230.0,8165.17
demo_business_001,2025-04-02,8165.17,524.25,0.0,8689.42
demo_business_001,2025-04-03,8689.42,394.6,0.0,9084.02
demo_business_001,2025-04-04,9084.02,523.0,0.0,9607.02
demo_business_001,2025-04-05,9607.02,1337.9,4013.93,6930.99
demo_business_001,2025-04-06,6930.99,420.2,0.0,7351.19
demo_business_001,2025-04-07,7351.19,484.8,0.0,7835.99
demo_business_001,2025-04-08,7835.99,334.15,2303.26,5866.88
demo_business_001,2025-04-09,5866.88,385.35,0.0,6252.23
demo_business_001,2025-04-10,6252.23,508.45,0.0,6760.68
demo_business_001,2025-04-11,6760.68,1075.35,0.0,7836.03
demo_business_001,2025-04-12,7836.03,732.35,0.0,8568.38
demo_business_001,2025-04-13,8568.38,477.95,0.0,9046.33
demo_business_001,2025-04-14,9046.33,588.45,0.0,9634.78
demo_business_001,2025-04-15,9634.78,452.7,0.0,10087.48
demo_business_001,2025-04-16,10087.48,544.1,0.0,10631.58
demo_business_001,2025-04-17,10631.58,471.0,0.0,11102.58
demo_business_001,2025-04-18,11102.58,737.55,0.0,11840.13
demo_business_001,2025-04-19,11840.13,867.35,4027.06,8680.42
demo_business_001,2025-04-20,8680.42,448.45,0.0,9128.87
demo_business_001,2025-04-21,9128.87,465.95,0.0,9594.82
demo_business_001,2025-04-22,9594.82,391.5,2687.23,7299.09
demo_business_001,2025-04-23,7299.09,623.7,0.0,7922.79
demo_business_001,2025-04-24,7922.79,471.35,0.0,8394.14
demo_business_001,2025-04-25,8394.14,435.8,0.0,8829.94
demo_business_001,2025-04-26,8829.94,653.85,0.0,9483.79
demo_business_001,2025-04-27,9483.79,644.05,0.0,10127.84
demo_business_001,2025-04-28,10127.84,639.65,0.0,10767.49
demo_business_001,2025-04-29,10767.49,422.35,0.0,11189.84
demo_business_001,2025-04-30,11189.84,408.45,0.0,11598.29
demo_business_001,2025-05-01,11598.29,843.95,4230.0,8212.24
demo_business_001,2025-05-02,8212.24,1514.8,0.0,9727.04
demo_business_001,2025-05-03,9727.04,684.45,4040.2,6371.29
demo_business_001,2025-05-04,6371.29,584.55,0.0,6955.84
demo_business_001,2025-05-05,6955.84,1735.65,0.0,8691.49
demo_business_001,2025-05-06,8691.49,483.15,2497.08,6677.56
demo_business_001,2025-05-07,6677.56,456.15,0.0,7133.71
demo_business_001,2025-05-08,7133.71,531.0,0.0,7664.71
demo_business_001,2025-05-09,7664.71,411.8,0.0,8076.51
demo_business_001,2025-05-10,8076.51,694.9,0.0,8771.41
demo_business_001,2025-05-11,8771.41,1450.85,0.0,10222.26
demo_business_001,2025-05-12,10222.26,217.15,0.0,10439.41
demo_business_001,2025-05-13,10439.41,532.8,0.0,10972.21
demo_business_001,2025-05-14,10972.21,468.3,0.0,11440.51
demo_business_001,2025-05-15,11440.51,420.3,0.0,11860.81
demo_business_001,2025-05-16,11860.81,1098.35,0.0,12959.16
demo_business_001,2025-05-17,12959.16,657.3,4053.33,9563.13
demo_business_001,2025-05-18,9563.13,1018.85,0.0,10581.98
demo_business_001,2025-05-19,10581.98,382.6,0.0,10964.58
demo_business_001,2025-05-20,10964.58,550.35,2870.46,8644.47
demo_business_001,2025-05-21,8644.47,1071.7,0.0,9716.17
demo_business_001,2025-05-22,9716.17,424.05,0.0,10140.22
demo_business_001,2025-05-23,10140.22,561.05,0.0,10701.27
demo_business_001,2025-05-24,10701.27,700.7,0.0,11401.97
demo_business_001,2025-05-25,11401.97,560.75,0.0,11962.72
demo_business_001,2025-05-26,11962.72,334.8,0.0,12297.52
demo_business_001,2025-05-27,12297.52,516.55,0.0,12814.07
demo_business_001,2025-05-28,12814.07,1233.0,0.0,14047.07
demo_business_001,2025-05-29,14047.07,523.35,0.0,14570.42
demo_business_001,2025-05-30,14570.42,597.0,0.0,15167.42
demo_business_001,2025-05-31,15167.42,687.75,4066.47,11788.7
demo_business_001,2025-06-01,11788.7,850.1,4230.0,8408.8
demo_business_001,2025-06-02,8408.8,514.9,0.0,8923.7
demo_business_001,2025-06-03,8923.7,381.4,2918.75,6386.35
demo_business_001,2025-06-04,6386.35,456.9,0.0,6843.25
demo_business_001,2025-06-05,6843.25,653.0,0.0,7496.25
demo_business_001,2025-06-06,7496.25,610.75,0.0,8107.0
demo_business_001,2025-06-07,8107.0,724.35,0.0,8831.35
demo_business_001,2025-06-08,8831.35,874.6,0.0,9705.95
demo_business_001,2025-06-09,9705.95,467.1,0.0,10173.05
demo_business_001,2025-06-10,10173.05,470.9,0.0,10643.95
demo_business_001,2025-06-11,10643.95,374.95,0.0,11018.9
demo_business_001,2025-06-12,11018.9,622.95,0.0,11641.85
demo_business_001,2025-06-13,11641.85,664.45,0.0,12306.3
demo_business_001,2025-06-14,12306.3,774.55,4079.6,9001.25
demo_business_001,2025-06-15,9001.25,848.8,0.0,9850.05
demo_business_001,2025-06-16,9850.05,482.55,0.0,10332.6
demo_business_001,2025-06-17,10332.6,393.5,2758.15,7967.95
demo_business_001,2025-06-18,7967.95,662.1,0.0,8630.05
demo_business_001,2025-06-19,8630.05,613.65,0.0,9243.7
demo_business_001,2025-06-20,9243.7,1701.15,0.0,10944.85
demo_business_001,2025-06-21,10944.85,838.3,0.0,11783.15
demo_business_001,2025-06-22,11783.15,856.85,0.0,12640.0
demo_business_001,2025-06-23,12640.0,842.8,0.0,13482.8
demo_business_001,2025-06-24,13482.8,765.7,0.0,14248.5
demo_business_001,2025-06-25,14248.5,438.95,0.0,14687.45
demo_business_001,2025-06-26,14687.45,700.3,0.0,15387.75
demo_business_001,2025-06-27,15387.75,710.35,0.0,16098.1
demo_business_001,2025-06-28,16098.1,751.0,4092.74,12756.36
demo_business_001,2025-06-29,12756.36,512.9,0.0,13269.26
demo_business_001,2025-06-30,13269.26,523.7,0.0,13792.96
demo_business_001,2025-07-01,13792.96,492.8,7221.88,7063.88
demo_business_001,2025-07-02,7063.88,403.45,0.0,7467.33
demo_business_001,2025-07-03,7467.33,503.65,0.0,7970.98
demo_business_001,2025-07-04,7970.98,789.2,0.0,8760.18
demo_business_001,2025-07-05,8760.18,847.3,0.0,9607.48
demo_business_001,2025-07-06,9607.48,518.35,0.0,10125.83
demo_business_001,2025-07-07,10125.83,633.05,0.0,10758.88
demo_business_001,2025-07-08,10758.88,1041.4,0.0,11800.28
demo_business_001,2025-07-09,11800.28,661.25,0.0,12461.53
demo_business_001,2025-07-10,12461.53,737.7,0.0,13199.23
demo_business_001,2025-07-11,13199.23,691.95,0.0,13891.18
demo_business_001,2025-07-12,13891.18,931.85,4105.88,10717.15
demo_business_001,2025-07-13,10717.15,656.3,0.0,11373.45
demo_business_001,2025-07-14,11373.45,542.2,0.0,11915.65
demo_business_001,2025-07-15,11915.65,499.6,2935.64,9479.61
demo_business_001,2025-07-16,9479.61,512.25,0.0,9991.86
demo_business_001,2025-07-17,9991.86,438.15,0.0,10430.01
demo_business_001,2025-07-18,10430.01,635.3,0.0,11065.31
demo_business_001,2025-07-19,11065.31,665.0,0.0,11730.31
demo_business_001,2025-07-20,11730.31,721.0,0.0,12451.31
demo_business_001,2025-07-21,12451.31,364.15,0.0,12815.46
demo_business_001,2025-07-22,12815.46,348.4,0.0,13163.86
demo_business_001,2025-07-23,13163.86,570.15,0.0,13734.01
demo_business_001,2025-07-24,13734.01,679.4,0.0,14413.41
demo_business_001,2025-07-25,14413.41,2231.85,0.0,16645.26
demo_business_001,2025-07-26,16645.26,1062.1,4119.01,13588.35
demo_business_001,2025-07-27,13588.35,885.35,0.0,14473.7
demo_business_001,2025-07-28,14473.7,375.8,0.0,14849.5
demo_business_001,2025-07-29,14849.5,434.35,2913.14,12370.71
demo_business_001,2025-07-30,12370.71,527.55,0.0,12898.26
demo_business_001,2025-07-31,12898.26,1285.45,0.0,14183.71
demo_business_001,2025-08-01,14183.71,625.8,4287.0,10522.51
demo_business_001,2025-08-02,10522.51,2516.4,0.0,13038.91
demo_business_001,2025-08-03,13038.91,1099.45,0.0,14138.36
demo_business_001,2025-08-04,14138.36,430.1,0.0,14568.46
demo_business_001,2025-08-05,14568.46,348.15,0.0,14916.61
demo_business_001,2025-08-06,14916.61,1547.75,0.0,16464.36
demo_business_001,2025-08-07,16464.36,622.75,0.0,17087.11
demo_business_001,2025-08-08,17087.11,876.1,0.0,17963.21
demo_business_001,2025-08-09,17963.21,828.25,4132.15,14659.31
demo_business_001,2025-08-10,14659.31,636.9,0.0,15296.21
demo_business_001,2025-08-11,15296.21,495.6,0.0,15791.81
demo_business_001,2025-08-12,15791.81,645.05,3042.77,13394.09
demo_business_001,2025-08-13,13394.09,484.25,0.0,13878.34
demo_business_001,2025-08-14,13878.34,2631.1,0.0,16509.44
demo_business_001,2025-08-15,16509.44,581.75,0.0,17091.19
demo_business_001,2025-08-16,17091.19,653.55,0.0,17744.74
demo_business_001,2025-08-17,17744.74,599.85,0.0,18344.59
demo_business_001,2025-08-18,18344.59,385.1,0.0,18729.69
demo_business_001,2025-08-19,18729.69,452.2,0.0,19181.89
demo_business_001,2025-08-20,19181.89,522.0,0.0,19703.89
demo_business_001,2025-08-21,19703.89,585.6,0.0,20289.49
demo_business_001,2025-08-22,20289.49,751.8,0.0,21041.29
demo_business_001,2025-08-23,21041.29,884.3,4145.28,17780.31
demo_business_001,2025-08-24,17780.31,899.7,0.0,18680.01
demo_business_001,2025-08-25,18680.01,564.8,0.0,19244.81
demo_business_001,2025-08-26,19244.81,866.35,2676.04,17435.12
demo_business_001,2025-08-27,17435.12,830.15,0.0,18265.27
demo_business_001,2025-08-28,18265.27,505.95,0.0,18771.22
demo_business_001,2025-08-29,18771.22,653.3,0.0,19424.52
demo_business_001,2025-08-30,19424.52,1955.5,0.0,21380.02
demo_business_001,2025-08-31,21380.02,617.45,0.0,21997.47
demo_business_001,2025-09-01,21997.47,435.1,4230.0,18202.57
demo_business_001,2025-09-02,18202.57,884.95,0.0,19087.52
demo_business_001,2025-09-03,19087.52,529.25,0.0,19616.77
demo_business_001,2025-09-04,19616.77,547.9,0.0,20164.67
demo_business_001,2025-09-05,20164.67,623.55,0.0,20788.22
demo_business_001,2025-09-06,20788.22,2576.8,4158.42,19206.6
demo_business_001,2025-09-07,19206.6,703.2,0.0,19909.8
demo_business_001,2025-09-08,19909.8,651.35,0.0,20561.15
demo_business_001,2025-09-09,20561.15,424.25,2934.73,18050.67
demo_business_001,2025-09-10,18050.67,1241.6,0.0,19292.27
demo_business_001,2025-09-11,19292.27,1058.9,0.0,20351.17
demo_business_001,2025-09-12,20351.17,1358.75,0.0,21709.92
demo_business_001,2025-09-13,21709.92,707.8,0.0,22417.72
demo_business_001,2025-09-14,22417.72,806.8,0.0,23224.52
demo_business_001,2025-09-15,23224.52,450.1,0.0,23674.62
demo_business_001,2025-09-16,23674.62,473.25,0.0,24147.87
demo_business_001,2025-09-17,24147.87,723.0,0.0,24870.87
demo_business_001,2025-09-18,24870.87,562.4,0.0,25433.27
demo_business_001,2025-09-19,25433.27,489.9,0.0,25923.17
demo_business_001,2025-09-20,25923.17,622.95,4171.56,22374.56
demo_business_001,2025-09-21,22374.56,1905.6,0.0,24280.16
demo_business_001,2025-09-22,24280.16,369.15,0.0,24649.31
demo_business_001,2025-09-23,24649.31,449.8,3142.22,21956.89
demo_business_001,2025-09-24,21956.89,425.8,0.0,22382.69
demo_business_001,2025-09-25,22382.69,717.05,0.0,23099.74
demo_business_001,2025-09-26,23099.74,1403.95,0.0,24503.69
demo_business_001,2025-09-27,24503.69,738.3,0.0,25241.99
demo_business_001,2025-09-28,25241.99,719.85,0.0,25961.84
demo_business_001,2025-09-29,25961.84,1114.65,0.0,27076.49
demo_business_001,2025-09-30,27076.49,442.85,0.0,27519.34
demo_business_001,2025-10-01,27519.34,1381.2,4230.0,24670.54
demo_business_001,2025-10-02,24670.54,418.55,0.0,25089.09
demo_business_001,2025-10-03,25089.09,618.9,0.0,25707.99
demo_business_001,2025-10-04,25707.99,1272.7,4184.69,22796.0
demo_business_001,2025-10-05,22796.0,637.7,0.0,23433.7
demo_business_001,2025-10-06,23433.7,2367.55,0.0,25801.25
demo_business_001,2025-10-07,25801.25,366.5,2834.29,23333.46
demo_business_001,2025-10-08,23333.46,464.2,23000.0,797.66
demo_business_001,2025-10-09,797.66,499.05,0.0,1296.71
demo_business_001,2025-10-10,1296.71,493.15,0.0,1789.86
demo_business_001,2025-10-11,1789.86,3051.45,0.0,4841.31
demo_business_001,2025-10-12,4841.31,1100.45,0.0,5941.76
demo_business_001,2025-10-13,5941.76,2152.25,0.0,8094.01
demo_business_001,2025-10-14,8094.01,404.95,0.0,8498.96
demo_business_001,2025-10-15,8498.96,699.35,0.0,9198.31
demo_business_001,2025-10-16,9198.31,805.2,0.0,10003.51
demo_business_001,2025-10-17,10003.51,672.4,0.0,10675.91
demo_business_001,2025-10-18,10675.91,649.45,4197.83,7127.53
demo_business_001,2025-10-19,7127.53,568.1,0.0,7695.63
demo_business_001,2025-10-20,7695.63,401.1,0.0,8096.73
demo_business_001,2025-10-21,8096.73,550.45,2925.37,5721.81
demo_business_001,2025-10-22,5721.81,320.6,0.0,6042.41
demo_business_001,2025-10-23,6042.41,399.6,0.0,6442.01
demo_business_001,2025-10-24,6442.01,611.85,0.0,7053.86
